v8-version,8,4,371,23,-node.84,0
code-creation,Builtin,3,4297,0x7ff6e82a44e0,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,4317,0x7ff6e82a4540,286,CallApiCallback
code-creation,Builtin,3,4332,0x7ff6e82a4660,268,CallApiGetter
code-creation,Builtin,3,4346,0x7ff6e82a4780,12,HandleApiCall
code-creation,Builtin,3,4364,0x7ff6e82a47a0,12,HandleApiCallAsFunction
code-creation,Builtin,3,4379,0x7ff6e82a47c0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,4394,0x7ff6e82a47e0,72,AllocateInYoungGeneration
code-creation,Builtin,3,4409,0x7ff6e82a4840,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,4424,0x7ff6e82a4880,72,AllocateInOldGeneration
code-creation,Builtin,3,4439,0x7ff6e82a48e0,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,4455,0x7ff6e82a4920,488,CopyFastSmiOrObjectElements
code-creation,Builtin,3,4470,0x7ff6e82a4b20,567,GrowFastDoubleElements
code-creation,Builtin,3,4485,0x7ff6e82a4d60,446,GrowFastSmiOrObjectElements
code-creation,Builtin,3,4500,0x7ff6e82a4f20,353,NewArgumentsElements
code-creation,Builtin,3,4514,0x7ff6e82a50a0,500,DebugBreakTrampoline
code-creation,Builtin,3,4529,0x7ff6e82a52a0,141,FrameDropperTrampoline
code-creation,Builtin,3,4544,0x7ff6e82a5340,45,HandleDebuggerStatement
code-creation,Builtin,3,4559,0x7ff6e82a5380,254,ToObject
code-creation,Builtin,3,4573,0x7ff6e82a5480,100,ToBoolean
code-creation,Builtin,3,4587,0x7ff6e82a5500,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,4602,0x7ff6e82a5620,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,4617,0x7ff6e82a5740,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,4632,0x7ff6e82a5820,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,4648,0x7ff6e82a5900,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,4663,0x7ff6e82a59e0,85,StringToNumber
code-creation,Builtin,3,4677,0x7ff6e82a5a40,129,ToName
code-creation,Builtin,3,4691,0x7ff6e82a5ae0,235,NonNumberToNumber
code-creation,Builtin,3,4706,0x7ff6e82a5be0,255,NonNumberToNumeric
code-creation,Builtin,3,4723,0x7ff6e82a5ce0,239,ToNumber
code-creation,Builtin,3,4738,0x7ff6e82a5de0,272,ToNumberConvertBigInt
code-creation,Builtin,3,4752,0x7ff6e82a5f00,275,ToNumeric
code-creation,Builtin,3,4767,0x7ff6e82a6020,261,NumberToString
code-creation,Builtin,3,4781,0x7ff6e82a6140,382,ToLength
code-creation,Builtin,3,4795,0x7ff6e82a62c0,140,Typeof
code-creation,Builtin,3,4809,0x7ff6e82a6360,69,GetSuperConstructor
code-creation,Builtin,3,4824,0x7ff6e82a63c0,125,BigIntToI64
code-creation,Builtin,3,4838,0x7ff6e82a6440,12,BigIntToI32Pair
code-creation,Builtin,3,4852,0x7ff6e82a6460,309,I64ToBigInt
code-creation,Builtin,3,4867,0x7ff6e82a65a0,12,I32PairToBigInt
